l1,l2,l3,system,description,typical_criticality,typical_dc_generations
Power — Distribution,busway,busway / busduct section,electrical,Overhead busway run section (400-6000 A),7,"colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Power — Distribution,busway,busway plug-in tap-off unit,electrical,Plug-in tap-off / busway end-feed unit for rack supply,6,"colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Power — Transfer,ATS,automatic transfer switch,electrical,"Automatic transfer switch (open/closed transition, 100-4000 A)",8,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale"
Power — Transfer,ATS,ATS controller / logic board,electrical,Transfer-switch controller logic board,6,"legacy-raised-floor,enterprise-tier3,colo-wholesale"
Power — Transfer,STS,static transfer switch (SCR),electrical,Static transfer switch for dual-cord loads (sub-cycle transfer),8,"enterprise-tier3,colo-wholesale,cloud-hyperscale"
Power — Reactive,capacitor-bank,power-factor capacitor bank,electrical,Automatic power-factor-correction capacitor bank,5,"legacy-raised-floor,enterprise-tier3,colo-wholesale"
Power — DC,battery-system,DC plant rectifier module,electrical,48 V DC plant rectifier module (telecom-style DC bus),7,"cloud-hyperscale,ai-factory-liquid-cooled,edge-micro"
Power — Metering,power-meter,revenue/PQ power meter,monitoring,Power-quality / revenue metering instrument (Class 0.2S),4,"enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Power — Standby Generation,diesel-generator,genset alternator (end),mechanical,Diesel genset alternator / generator end (500-3500 kVA),8,"enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Power — Standby Generation,diesel-generator,genset controller / paralleling module,mechanical,Genset engine controller / paralleling switchgear module,7,"enterprise-tier3,colo-wholesale,cloud-hyperscale"
Power — Standby Generation,diesel-generator,genset turbocharger,mechanical,Turbocharger for standby diesel genset,6,"enterprise-tier3,colo-wholesale,cloud-hyperscale"
Power — Standby Generation,diesel-generator,genset jacket-water heater,mechanical,Block / jacket-water immersion heater for genset readiness,5,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale"
Power — Standby Generation,diesel-generator,genset starter / battery,mechanical,Engine starter motor / starter battery for genset,5,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale"
Power — Standby Generation,diesel-generator,genset fuel/oil/air filter set,mechanical,Fuel + oil + air filter element set for genset (consumable),3,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled,edge-micro"
Power — Standby Generation,fuel-system,diesel fuel transfer pump,mechanical,Day-tank / bulk-tank diesel fuel transfer pump,6,"enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Power — Standby Generation,fuel-system,fuel polishing/filtration unit,mechanical,Diesel fuel polishing / filtration / water-separation unit,4,"enterprise-tier3,colo-wholesale,cloud-hyperscale"
Power — Standby Generation,exhaust-system,genset exhaust silencer/SCR,mechanical,Exhaust silencer + selective-catalytic-reduction (Tier 4) module,4,"colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Cooling — Chilled Water,chiller,centrifugal chiller compressor,cooling,Centrifugal chiller compressor (500-3000 ton),9,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale"
Cooling — Chilled Water,chiller,magnetic-bearing chiller compressor,cooling,Oil-free magnetic-bearing chiller compressor,8,"colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Cooling — Chilled Water,chiller,chiller control panel / VFD,cooling,Chiller microprocessor control panel / compressor VFD,7,"enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Cooling — Chilled Water,chiller,chiller evaporator/condenser tube bundle,cooling,Shell-and-tube evaporator or condenser bundle for chiller,7,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale"
Cooling — Heat Rejection,cooling-tower,cooling-tower fan / gearbox,cooling,Induced/forced-draft cooling-tower fan + gear reducer,6,"enterprise-tier3,colo-wholesale,cloud-hyperscale"
Cooling — Heat Rejection,cooling-tower,cooling-tower fill / drift eliminator,cooling,PVC fill media + drift eliminator pack for cooling tower,4,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale"
Cooling — Heat Rejection,dry-cooler,finned-tube dry cooler,cooling,Adiabatic / dry fluid cooler module (free-cooling + facility loop),6,"cloud-hyperscale,ai-factory-liquid-cooled"
Cooling — Heat Rejection,dry-cooler,dry-cooler EC fan,cooling,Electronically-commutated axial fan for dry cooler / condenser,5,"colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Cooling — Air,CRAC-CRAH,CRAC/CRAH compressor,cooling,DX compressor for computer-room air conditioner,7,"legacy-raised-floor,enterprise-tier3,colo-wholesale"
Cooling — Air,CRAC-CRAH,CRAC/CRAH EC fan array,cooling,Electronically-commutated fan / fan array for CRAC/CRAH,6,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale"
Cooling — Air,CRAC-CRAH,CRAC/CRAH cooling coil,cooling,Chilled-water / DX cooling coil for CRAH/CRAC,5,"legacy-raised-floor,enterprise-tier3,colo-wholesale"
Cooling — Air,CRAC-CRAH,CRAC/CRAH humidifier,cooling,Steam / infrared / ultrasonic humidifier module for CRAC,4,"legacy-raised-floor,enterprise-tier3,colo-wholesale"
Cooling — Air,CRAC-CRAH,air filter element,cooling,MERV/HEPA air filter element for CRAC/CRAH/AHU (consumable),3,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled,edge-micro"
Cooling — Air,CRAC-CRAH,AHU supply/return fan,cooling,Plug fan / fan-wall module for air-handling unit,6,"colo-wholesale,cloud-hyperscale"
Cooling — Air,adiabatic-cooling,adiabatic cooler media + pump,cooling,Evaporative media pad + recirculation pump for adiabatic cooler,4,"cloud-hyperscale,ai-factory-liquid-cooled"
Cooling — Liquid,CDU-coolant-distribution,coolant distribution unit (CDU) pump,cooling,Primary coolant pump for direct-to-chip CDU,8,"ai-factory-liquid-cooled,cloud-hyperscale"
Cooling — Liquid,CDU-coolant-distribution,CDU plate heat exchanger,cooling,Brazed-plate HX (technology↔facility loop) inside a CDU,8,"ai-factory-liquid-cooled,cloud-hyperscale"
Cooling — Liquid,CDU-coolant-distribution,CDU control board / leak sensor,cooling,CDU control / monitoring board with leak detection,7,"ai-factory-liquid-cooled,cloud-hyperscale"
Cooling — Liquid,direct-to-chip-cooling,GPU/CPU cold plate,cooling,Direct-to-chip liquid cold plate (microchannel) for GPU/CPU,7,ai-factory-liquid-cooled
Cooling — Liquid,cooling-manifold,rack cooling manifold,cooling,In-rack liquid-cooling distribution manifold + quick-disconnects,6,ai-factory-liquid-cooled
Cooling — Liquid,cooling-manifold,quick-disconnect coupling (dripless),cooling,Dripless quick-disconnect coupling for liquid-cooling lines,6,ai-factory-liquid-cooled
Cooling — Liquid,direct-to-chip-cooling,dielectric / coolant filter element,cooling,Filter element / chemistry-conditioning cartridge for liquid-cooling loop,5,"ai-factory-liquid-cooled,cloud-hyperscale"
Cooling — Liquid,immersion-cooling,immersion-tank circulation pump,cooling,Dielectric-fluid circulation pump for immersion tank,7,ai-factory-liquid-cooled
Cooling — Liquid,immersion-cooling,immersion-tank heat exchanger,cooling,Coil / plate HX inside an immersion tank (fluid↔facility water),7,ai-factory-liquid-cooled
Cooling — Liquid,refrigerant-circuit,two-phase immersion condenser,cooling,Condenser coil for two-phase immersion (dielectric vapour↔water),7,ai-factory-liquid-cooled
Cooling — Air,RDHx,rear-door heat exchanger coil,cooling,Passive/active rear-door heat-exchanger coil for high-density racks,6,"colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Cooling — Hydronics,pump,chilled-water circulation pump,cooling,Centrifugal chilled-water / condenser-water circulation pump,7,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Cooling — Hydronics,pump,pump motor / VFD,cooling,Induction motor + variable-frequency drive for hydronic pump,6,"enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Cooling — Hydronics,pump,pump mechanical seal / bearing,cooling,Mechanical shaft seal + bearing set for hydronic pump (consumable-ish),4,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Cooling — Hydronics,valve,motorized control valve (2-way/3-way),cooling,Characterized 2-way / 3-way control valve + actuator,5,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Cooling — Hydronics,valve,butterfly / gate isolation valve,cooling,Large isolation valve (butterfly/gate) for chilled-water headers,5,"enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Cooling — Hydronics,valve,pressure-independent control valve (PICV),cooling,Pressure-independent control valve for terminal-unit balancing,4,"colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Cooling — Hydronics,heat-exchanger,plate-and-frame heat exchanger,cooling,Gasketed plate-and-frame HX (free-cooling / heat-recovery / facility loop),6,"enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Cooling — Hydronics,heat-exchanger,HX gasket / plate set,cooling,Replacement gasket + plate set for plate-and-frame HX (consumable),3,"enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Cooling — Hydronics,pipework,grooved pipe coupling / fitting,cooling,Grooved mechanical pipe coupling / fitting for chilled-water + fire mains,3,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Cooling — Hydronics,pipework,expansion / air-separation tank,cooling,Bladder expansion tank + air separator for hydronic loop,4,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Cooling — Hydronics,pipework,strainer / Y-strainer basket,cooling,Y-strainer / basket-strainer screen for pump-protection (consumable),3,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Fire — Detection,VESDA,aspirating smoke detector (VESDA),fire-life-safety,Aspirating smoke-detection unit (very-early-warning) + sampling pipe,7,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Fire — Detection,smoke-detection,addressable smoke/heat detector,fire-life-safety,Addressable photoelectric/heat detector for SLC loop,4,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled,edge-micro"
Fire — Control,fire-panel,fire alarm control panel (FACP),fire-life-safety,Addressable fire-alarm control panel / network node,7,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Fire — Control,fire-panel,clean-agent release panel,fire-life-safety,"Suppression-release control panel (cross-zoned, abort/manual)",7,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Fire — Suppression,clean-agent,clean-agent cylinder (FM-200/Novec 1230),fire-life-safety,Pressurized clean-agent storage cylinder + valve assembly,7,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Fire — Suppression,gas-suppression,inert-gas (IG-541/IG-55) cylinder,fire-life-safety,Inert-gas suppression cylinder + manifold valve,7,"colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Fire — Suppression,clean-agent,suppression nozzle / discharge head,fire-life-safety,Clean-agent / inert-gas discharge nozzle (orifice-sized),4,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Fire — Suppression,sprinkler,pre-action / deluge valve,fire-life-safety,Pre-action (double-interlock) / deluge valve assembly + trim,6,"enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Fire — Suppression,sprinkler,sprinkler head,fire-life-safety,Quick-response / standard sprinkler head (consumable on activation),3,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Fire — Suppression,fire-pump,electric fire pump + controller,fire-life-safety,Horizontal split-case electric fire pump + listed controller,6,"colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Fire — Suppression,fire-pump,diesel fire pump engine,fire-life-safety,Diesel-driven fire-pump engine + controller (standby),6,"colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Fire — Suppression,fire-pump,jockey pump,fire-life-safety,Pressure-maintenance (jockey) pump for fire main,4,"colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Life-Safety — Egress,emergency-lighting,emergency luminaire / inverter,fire-life-safety,Self-contained emergency luminaire / central-battery inverter,3,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled,edge-micro"
Network — Fabric,spine-leaf-switch,data-center leaf/spine switch,network-ict,High-radix DC Ethernet/InfiniBand leaf or spine switch,6,"colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Network — Fabric,spine-leaf-switch,switch power supply / fan module,network-ict,Hot-swap PSU / fan tray for DC switch,4,"colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Network — Optics,optical-transceiver,optical transceiver (QSFP-DD/OSFP/QSFP28),network-ict,Pluggable optical transceiver (100G-800G) for DC fabric,4,"colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Network — Cabling,fiber-ODF,optical distribution frame module / cassette,network-ict,High-density ODF cassette / MTP-MPO module,3,"colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Network — Cabling,structured-cabling,fiber trunk / patch assembly,network-ict,Pre-terminated fiber trunk or patch assembly (OS2/OM4),3,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Network — Cabling,patch-panel,copper patch panel (Cat6A),network-ict,24/48-port Cat6A patch panel + cassettes,2,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale,edge-micro"
Network — Management,console-server,serial console / OOB management server,network-ict,Out-of-band serial console server / smart PDU controller,4,"enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled,edge-micro"
Network — Management,KVM,KVM-over-IP switch,network-ict,KVM-over-IP switch / IP-KVM module for remote console,2,"legacy-raised-floor,enterprise-tier3,colo-wholesale,edge-micro"
Controls — BMS,DDC-PLC-controller,DDC plant controller,bms-controls,Direct-digital-control plant/AHU controller (BACnet/Niagara),6,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Controls — BMS,DDC-PLC-controller,programmable logic controller (PLC),bms-controls,Safety/process PLC + I/O for electrical or cooling plant,6,"colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Controls — BMS,LDC-panel,local display controller / HMI panel,bms-controls,"Local display controller / touch HMI at plant skid (chiller, e-house, BMS room)",5,"enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Controls — BMS,BACnet-gateway,BACnet / Modbus protocol gateway,bms-controls,Protocol gateway (BACnet/IP↔Modbus↔SNMP↔Niagara),4,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Controls — BMS,SCADA-RTU,SCADA RTU / IED for EPMS,bms-controls,Remote terminal unit / IED for electrical power-monitoring SCADA,5,"colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Controls — Field,sensor,temperature / humidity sensor (room),bms-controls,Room / supply-air temperature + humidity sensor,2,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled,edge-micro"
Controls — Field,sensor,pressure / flow sensor (hydronic),bms-controls,Differential-pressure / flow sensor for chilled-water loop,3,"enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Controls — Field,sensor,coolant leak-detection cable/sensor,bms-controls,Conductive / fluorescent leak-detection cable + controller for liquid-cooling,5,"ai-factory-liquid-cooled,cloud-hyperscale"
Controls — Field,actuator,damper / valve actuator,bms-controls,Spring-return / non-spring damper or valve actuator (24V/0-10V),3,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Controls — Field,actuator,VFD (general HVAC),bms-controls,General-purpose variable-frequency drive for fans/pumps,5,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Structure — White Space,raised-floor-tile,raised-floor tile / pedestal,structural-civil,Bolted-stringer raised-floor panel + pedestal / perforated tile,2,"legacy-raised-floor,enterprise-tier3,colo-wholesale"
Structure — White Space,server-rack,server cabinet / rack frame,structural-civil,42-52U server cabinet with doors + cable management,2,"enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled,edge-micro"
Structure — White Space,aisle-containment,hot/cold-aisle containment panel/door,structural-civil,Aisle-containment roof/door/wall panel + auto-release,2,"enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Structure — Pathways,cable-tray,cable tray / ladder rack section,structural-civil,Overhead cable tray / ladder section + fittings,2,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Structure — Seismic,seismic-brace,seismic bracing / isolation mount,structural-civil,Seismic bracing kit / vibration-isolation mount for equipment,3,"enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Monitoring — DCIM,DCIM-sensor,DCIM environmental sensor pod,monitoring,Wireless / wired DCIM sensor node (temp/humidity/door/leak),2,"enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled,edge-micro"
Monitoring — DCIM,power-meter,branch-circuit / busway power meter,monitoring,Branch-circuit or busway power-monitoring module,4,"enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Monitoring — Security,access-control,access-control reader / controller,monitoring,Card/biometric reader + door controller for secure-zone access,3,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled,edge-micro"
Monitoring — Security,video-surveillance,IP camera / NVR module,monitoring,IP surveillance camera / network-video-recorder module,2,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled,edge-micro"
Monitoring — Detection,leak-detection,spot / rope water-leak detector,monitoring,Spot or rope-style water-leak detector + panel (under-floor / CRAC pans),4,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Power — Distribution,switchgear,LV moulded-case circuit breaker (MCCB),electrical,Moulded-case circuit breaker 16–1600 A for LV distribution panels,6,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled,edge-micro"
Power — Distribution,switchgear,surge protection device (SPD/TVSS),electrical,Surge-protective device / TVSS for LV distribution boards and racks,4,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled,edge-micro"
Power — Distribution,switchgear,earth-fault / arc-flash relay,electrical,Earth-fault monitoring relay or arc-flash detection relay for LV panels,7,"enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Power — Distribution,switchgear,bus-tie breaker,electrical,Bus-tie / bus-section circuit breaker for paralleling two main bus sections,8,"enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Power — Distribution,switchgear,ring-main unit (RMU) module,electrical,SF6 / vacuum ring-main unit switchgear module for campus MV ring feeds,8,"colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Power — Distribution,transformer,on-load tap changer (OLTC),electrical,On-load tap-changer mechanism for regulating transformer output voltage,7,"colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Power — Distribution,transformer,transformer protection relay (Buchholz/breather),electrical,Buchholz relay + silica-gel breather + thermostat for oil-immersed transformer monitoring,6,"colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Power — Distribution,PDU,rack automatic transfer switch (in-rack ATS),electrical,In-rack dual-feed automatic transfer switch for single-cord servers,7,"enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Power — Distribution,PDU,PDU branch-circuit monitoring strip,electrical,Per-outlet or per-branch current/energy monitoring strip inside floor/rack PDU,4,"enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Power — Power Quality,harmonic-filter,passive / active harmonic filter,electrical,Passive LC or active harmonic filter for UPS/VFD harmonic mitigation,5,"enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Power — DC,dc-busway,DC-bus capacitor bank (48V/400V DC busway),electrical,DC-bus capacitor bank module for 48V/400V DC distribution systems,6,"cloud-hyperscale,ai-factory-liquid-cooled"
Power — Standby Generation,diesel-generator,generator AVR (automatic voltage regulator),mechanical,Automatic voltage regulator module for diesel genset alternator,7,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Power — Standby Generation,diesel-generator,generator load bank (resistive),mechanical,Resistive load bank for periodic genset load testing (portable/permanent),4,"enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Power — Standby Generation,diesel-generator,genset coolant pump,mechanical,Engine jacket-water centrifugal coolant pump for diesel genset,6,"enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Power — Standby Generation,diesel-generator,genset radiator core,mechanical,Engine radiator / heat exchanger core for remote genset cooling,5,"enterprise-tier3,colo-wholesale,cloud-hyperscale"
Power — Standby Generation,diesel-generator,genset fuel injector / common-rail,mechanical,Fuel injector or common-rail assembly for diesel genset engine,6,"enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Power — Standby Generation,fuel-system,fuel-level transmitter / float switch,mechanical,Tank-level transmitter or float switch for diesel day-tank / bulk-tank,4,"enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Power — Standby Generation,fuel-system,fuel-tank leak-detection sensor,mechanical,Under-tank bund / double-wall leak detector for diesel fuel tanks,5,"enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Cooling — Chilled Water,chiller,chiller oil filter / purge unit,cooling,Refrigerant-side oil filter cartridge or purge unit for centrifugal chiller,5,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale"
Cooling — Chilled Water,chiller,chiller refrigerant relief valve,cooling,Pressure-relief valve for chiller refrigerant circuit (code-required),5,"enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Cooling — Heat Rejection,cooling-tower,cooling-tower spray nozzle / distribution header,cooling,Replacement spray nozzle or hot-water distribution header for cooling tower,3,"legacy-raised-floor,enterprise-tier3,colo-wholesale,cloud-hyperscale"
Cooling — Heat Rejection,cooling-tower,cooling-tower basin heater,cooling,Electric immersion heater for cooling-tower basin freeze protection,4,"enterprise-tier3,colo-wholesale,cloud-hyperscale"
Cooling — Heat Rejection,cooling-tower,cooling-tower vibration switch,cooling,Vibration switch / accelerometer for cooling-tower fan shaft protection,5,"enterprise-tier3,colo-wholesale,cloud-hyperscale"
Cooling — Heat Rejection,cooling-tower,cooling-tower water-treatment dosing pump,cooling,Chemical dosing pump / controller for cooling-tower water treatment,4,"enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Cooling — Heat Rejection,dry-cooler,plate-HX cleaning-in-place (CIP) skid,cooling,CIP skid (pump + heater + chemical vessel) for plate heat exchanger cleaning,4,"enterprise-tier3,colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Cooling — Air,CRAC-CRAH,CRAC reheat element / condensate pump,cooling,Electric reheat element or condensate transfer pump for CRAC/CRAH unit,4,"legacy-raised-floor,enterprise-tier3,colo-wholesale"
Cooling — Air,AHU,AHU heat-recovery wheel / UV-C lamp,cooling,Thermal wheel / enthalpy recovery wheel or UV-C germicidal lamp for AHU,4,"colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Cooling — Air,CRAC-CRAH,perimeter CRAH valve actuator,cooling,Spring-return actuator for cooling-coil 2-way valve on perimeter CRAH,4,"legacy-raised-floor,enterprise-tier3,colo-wholesale"
Cooling — Air,RDHx,rear-door HX fan / coil cleaning kit,cooling,Replacement fan assembly or chemical coil-cleaning kit for rear-door HX,4,"colo-wholesale,cloud-hyperscale,ai-factory-liquid-cooled"
Cooling — Liquid,CDU-coolant-distribution,secondary CDU pump,cooling,Secondary or redundant coolant pump within CDU (built-in N+1 pump),8,ai-factory-liquid-cooled
Cooling — Liquid,CDU-coolant-distribution,CDU expansion tank / accumulator,cooling,Pressurized expansion tank or accumulator for CDU coolant circuit,6,"ai-factory-liquid-cooled,cloud-hyperscale"
Cooling — Liquid,CDU-coolant-distribution,CDU filtration cartridge (5µm/50µm),cooling,Consumable filtration cartridge (5 µm or 50 µm) for CDU coolant loop,5,"ai-factory-liquid-cooled,cloud-hyperscale"
Cooling — Liquid,CDU-coolant-distribution,CDU flow control valve,cooling,Motorized flow-control or proportional valve inside CDU coolant circuit,6,"ai-factory-liquid-cooled,cloud-hyperscale"
Cooling — Liquid,CDU-coolant-distribution,CDU coolant chemistry sensor,cooling,Inline pH / conductivity / turbidity sensor for CDU coolant-loop chemistry monitoring,6,"ai-factory-liquid-cooled,cloud-hyperscale"
